1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
1 3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210 231 253 276 300 325 351 378 406 435 465 496 528 561 595 630 666 703 741 780 820 861 903 946 990 1035 1081 1128 1176 1225 1275 1326 1378 1431 1485 1540 1596 1653 1711 1770 1830 1891 1953 2016 2080 2145 2211 2278 2346 2415 2485 2556 2628 2701 2775 2850 2926 3003 3081 3160 3240 3321 3403 3486 3570 3655 3741 3828 3916 4005 4095 4186 4278 4371 4465 4560 4656 4753 4851 4950 5050 
1 4 10 20 35 56 84 120 165 220 286 364 455 560 680 816 969 1140 1330 1540 1771 2024 2300 2600 2925 3276 3654 4060 4495 4960 5456 5984 6545 7140 7770 8436 9139 9880 10660 11480 12341 13244 14190 15180 16215 17296 18424 19600 20825 22100 23426 24804 26235 27720 29260 30856 32509 34220 35990 37820 39711 41664 43680 45760 47905 50116 52394 54740 57155 59640 62196 64824 67525 70300 73150 76076 79079 82160 85320 88560 91881 95284 98770 102340 105995 109736 113564 117480 121485 125580 129766 134044 138415 142880 147440 152096 156849 161700 166650 171700 
1 5 15 35 70 126 210 330 495 715 1001 1365 1820 2380 3060 3876 4845 5985 7315 8855 10626 12650 14950 17550 20475 23751 27405 31465 35960 40920 46376 52360 58905 66045 73815 82251 91390 101270 111930 123410 135751 148995 163185 178365 194580 211876 230300 249900 270725 292825 316251 341055 367290 395010 424270 455126 487635 521855 557845 595665 635376 677040 720720 766480 814385 864501 916895 971635 1028790 1088430 1150626 1215450 1282975 1353275 1426425 1502501 1581580 1663740 1749060 1837620 1929501 2024785 2123555 2225895 2331890 2441626 2555190 2672670 2794155 2919735 3049501 3183545 3321960 3464840 3612280 3764376 3921225 4082925 4249575 4421275 
1 6 21 56 126 252 462 792 1287 2002 3003 4368 6188 8568 11628 15504 20349 26334 33649 42504 53130 65780 80730 98280 118755 142506 169911 201376 237336 278256 324632 376992 435897 501942 575757 658008 749398 850668 962598 1086008 1221759 1370754 1533939 1712304 1906884 2118760 2349060 2598960 2869685 3162510 3478761 3819816 4187106 4582116 5006386 5461512 5949147 6471002 7028847 7624512 8259888 8936928 9657648 10424128 11238513 12103014 13019909 13991544 15020334 16108764 17259390 18474840 19757815 21111090 22537515 24040016 25621596 27285336 29034396 30872016 32801517 34826302 36949857 39175752 41507642 43949268 46504458 49177128 51971283 54891018 57940519 61124064 64446024 67910864 71523144 75287520 79208745 83291670 87541245 91962520 
1 7 28 84 210 462 924 1716 3003 5005 8008 12376 18564 27132 38760 54264 74613 100947 134596 177100 230230 296010 376740 475020 593775 736281 906192 1107568 1344904 1623160 1947792 2324784 2760681 3262623 3838380 4496388 5245786 6096454 7059052 8145060 9366819 10737573 12271512 13983816 15890700 18009460 20358520 22957480 25827165 28989675 32468436 36288252 40475358 45057474 50063860 55525372 61474519 67945521 74974368 82598880 90858768 99795696 109453344 119877472 131115985 143218999 156238908 170230452 185250786 201359550 218618940 237093780 256851595 277962685 300500200 324540216 350161812 377447148 406481544 437353560 470155077 504981379 541931236 581106988 622614630 666563898 713068356 762245484 814216767 869107785 927048304 988172368 1052618392 1120529256 1192052400 1267339920 1346548665 1429840335 1517381580 1609344100 
1 8 36 120 330 792 1716 3432 6435 11440 19448 31824 50388 77520 116280 170544 245157 346104 480700 657800 888030 1184040 1560780 2035800 2629575 3365856 4272048 5379616 6724520 8347680 10295472 12620256 15380937 18643560 22481940 26978328 32224114 38320568 45379620 53524680 62891499 73629072 85900584 99884400 115775100 133784560 154143080 177100560 202927725 231917400 264385836 300674088 341149446 386206920 436270780 491796152 553270671 621216192 696190560 778789440 869648208 969443904 1078897248 1198774720 1329890705 1473109704 1629348612 1799579064 1984829850 2186189400 2404808340 2641902120 2898753715 3176716400 3477216600 3801756816 4151918628 4529365776 4935847320 5373200880 5843355957 6348337336 6890268572 7471375560 8093990190 8760554088 9473622444 10235867928 11050084695 11919192480 12846240784 13834413152 14887031544 16007560800 17199613200 18466953120 19813501785 21243342120 22760723700 24370067800 
1 9 45 165 495 1287 3003 6435 12870 24310 43758 75582 125970 203490 319770 490314 735471 1081575 1562275 2220075 3108105 4292145 5852925 7888725 10518300 13884156 18156204 23535820 30260340 38608020 48903492 61523748 76904685 95548245 118030185 145008513 177232627 215553195 260932815 314457495 377348994 450978066 536878650 636763050 752538150 886322710 1040465790 1217566350 1420494075 1652411475 1916797311 2217471399 2558620845 2944827765 3381098545 3872894697 4426165368 5047381560 5743572120 6522361560 7392009768 8361453672 9440350920 10639125640 11969016345 13442126049 15071474661 16871053725 18855883575 21042072975 23446881315 26088783435 28987537150 32164253550 35641470150 39443226966 43595145594 48124511370 53060358690 58433559570 64276915527 70625252863 77515521435 84986896995 93080887185 101841441273 111315063717 121550931645 132601016340 144520208820 157366449604 171200862756 186087894300 202095455100 219295068300 237762021420 257575523205 278818865325 301579589025 325949656825 
1 10 55 220 715 2002 5005 11440 24310 48620 92378 167960 293930 497420 817190 1307504 2042975 3124550 4686825 6906900 10015005 14307150 20160075 28048800 38567100 52451256 70607460 94143280 124403620 163011640 211915132 273438880 350343565 445891810 563921995 708930508 886163135 1101716330 1362649145 1677106640 2054455634 2505433700 3042312350 3679075400 4431613550 5317936260 6358402050 7575968400 8996462475 10648873950 12565671261 14783142660 17341763505 20286591270 23667689815 27540584512 31966749880 37014131440 42757703560 49280065120 56672074888 65033528560 74473879480 85113005120 97082021465 110524147514 125595622175 142466675900 161322559475 182364632450 205811513765 231900297200 260887834350 293052087900 328693558050 368136785016 411731930610 459856441980 512916800670 571350360240 635627275767 706252528630 783768050065 868754947060 961835834245 1063677275518 1174992339235 1296543270880 1429144287220 1573664496040 1731030945644 1902231808400 2088319702700 2290415157800 2509710226100 2747472247520 3005047770725 3283866636050 3585446225075 3911395881900 
1 11 66 286 1001 3003 8008 19448 43758 92378 184756 352716 646646 1144066 1961256 3268760 5311735 8436285 13123110 20030010 30045015 44352165 64512240 92561040 131128140 183579396 254186856 348330136 472733756 635745396 847660528 1121099408 1471442973 1917334783 2481256778 3190187286 4076350421 5178066751 6540715896 8217822536 10272278170 12777711870 15820024220 19499099620 23930713170 29248649430 35607051480 43183019880 52179482355 62828356305 75394027566 90177170226 107518933731 127805525001 151473214816 179013799328 210980549208 247994680648 290752384208 340032449328 396704524216 461738052776 536211932256 621324937376 718406958841 828931106355 954526728530 1096993404430 1258315963905 1440680596355 1646492110120 1878392407320 2139280241670 2432332329570 2761025887620 3129162672636 3540894603246 4000751045226 4513667845896 5085018206136 5720645481903 6426898010533 7210666060598 8079421007658 9041256841903 10104934117421 11279926456656 12576469727536 14005614014756 15579278510796 17310309456440 19212541264840 21300860967540 23591276125340 26100986351440 28848458598960 31853506369685 35137373005735 38722819230810 42634215112710 
1 12 78 364 1365 4368 12376 31824 75582 167960 352716 705432 1352078 2496144 4457400 7726160 13037895 21474180 34597290 54627300 84672315 129024480 193536720 286097760 417225900 600805296 854992152 1203322288 1676056044 2311801440 3159461968 4280561376 5752004349 7669339132 10150595910 13340783196 17417133617 22595200368 29135916264 37353738800 47626016970 60403728840 76223753060 95722852680 119653565850 148902215280 184509266760 227692286640 279871768995 342700125300 418094152866 508271323092 615790256823 743595781824 895068996640 1074082795968 1285063345176 1533058025824 1823810410032 2163842859360 2560547383576 3022285436352 3558497368608 4179822305984 4898229264825 5727160371180 6681687099710 7778680504140 9036996468045 10477677064400 12124169174520 14002561581840 16141841823510 18574174153080 21335200040700 24464362713336 28005257316582 32006008361808 36519676207704 41604694413840 47325339895743 53752237906276 60962903966874 69042324974532 78083581816435 88188515933856 99468442390512 112044912118048 126050526132804 141629804643600 158940114100040 178152655364880 199453516332420 223044792457760 249145778809200 277994237408160 309847743777845 344985116783580 383707936014390 426342151127100 
