Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 81.25      0.26     0.26    40000     6.50     7.00  add(std::string&, Trie*, int, int, int)
  9.38      0.29     0.03                             std::string::operator[](unsigned int)
  6.25      0.31     0.02  8020000     0.00     0.00  cti(char)
  3.12      0.32     0.01                             memset
  0.00      0.32     0.00  7915106     0.00     0.00  init_trie(Trie*)
  0.00      0.32     0.00   146298     0.00     0.00  std::_Identity<std::string>::operator()(std::string const&) const
  0.00      0.32     0.00    80176     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::operator[](unsigned int)
  0.00      0.32     0.00    73548     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.32     0.00    73149     0.00     0.00  std::less<std::string>::operator()(std::string const&, std::string const&) const
  0.00      0.32     0.00    60670     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::_S_key(std::_Rb_tree_node<std::string> const*)
  0.00      0.32     0.00    60670     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::_S_value(std::_Rb_tree_node<std::string> const*)
  0.00      0.32     0.00    30496     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.32     0.00    30378     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.32     0.00    17697     0.00     0.00  std::_Rb_tree_iterator<std::string>::_Rb_tree_iterator(std::_Rb_tree_node<std::string>*)
  0.00      0.32     0.00    12493     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::_M_end()
  0.00      0.32     0.00    12479     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.32     0.00    12479     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.32     0.00    12388     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::_M_begin()
  0.00      0.32     0.00    12385     0.00     0.00  std::_Rb_tree_const_iterator<std::string>::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::string> const&)
  0.00      0.32     0.00    12385     0.00     0.00  std::set<std::string, std::less<std::string>, std::allocator<std::string> >::insert(std::string const&)
  0.00      0.32     0.00    12385     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::string>, bool>::pair(std::_Rb_tree_iterator<std::string> const&, bool const&)
  0.00      0.32     0.00    12385     0.00     0.00  std::pair<std::_Rb_tree_const_iterator<std::string>, bool>::pair(std::_Rb_tree_const_iterator<std::string> const&, bool const&)
  0.00      0.32     0.00    12385     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::_M_insert_unique(std::string const&)
  0.00      0.32     0.00     5210     0.00     0.00  std::_Rb_tree_iterator<std::string>::operator==(std::_Rb_tree_iterator<std::string> const&) const
  0.00      0.32     0.00     5210     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::begin()
  0.00      0.32     0.00     5204     0.00     0.00  std::_Rb_tree_iterator<std::string>::operator--()
  0.00      0.32     0.00      726     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator*() const
  0.00      0.32     0.00      710     0.00     0.00  std::string* std::__addressof<std::string>(std::string&)
  0.00      0.32     0.00      405     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.32     0.00      303     0.00     0.00  void std::_Destroy<std::string>(std::string*)
  0.00      0.32     0.00      264     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::base() const
  0.00      0.32     0.00      248     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator--()
  0.00      0.32     0.00      206     0.00     0.00  __gnu_cxx::new_allocator<std::string>::~new_allocator()
  0.00      0.32     0.00      205     0.00     0.00  __gnu_cxx::new_allocator<std::string>::new_allocator()
  0.00      0.32     0.00      205     0.00     0.00  std::allocator<std::string>::~allocator()
